Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Malawi","MWI","0.0792650382996525","0.0763946782801807","0.0740017296331908","0.0642957247501496","0.0754332982024574","0.0755568762942631","0.0681128300668963","0.0738835216940527","0.0747629100469522","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Malaysia","MYS","3.13736577811205","5.4229371944872","7.52577775520397","7.20424991024395","7.77155474604007","7.69701588203133","7.49755896856738","7.96151399932217","8.03299157864044","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Maldives","MDV","0.772121049212642","1.60865455946131","2.44428408307106","2.49293231894973","2.56531352963285","2.62954274640059","2.87698697317214","2.74980938457009","3.26955984979681","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Mali","MLI","0.0498163773799235","0.0748934369953928","0.0757354393227547","0.0552312081999661","0.0639744983195783","0.0672476507125769","0.0620839312611555","0.0623116483019779","0.0832286633976398","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Malta","MLT","6.09837930937121","5.29246296339022","6.25231387052096","5.81418600309835","6.17494957877773","6.10479546830407","6.3819007304275","5.49231747999258","5.40061395717027","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Marshall Islands","MHL","1.00788616854835","1.47638950133246","1.89607032057911","1.96246177370031","1.95853123509776","1.95416999733547","1.94968004101551","1.94487905593545","1.94101856402889","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Mauritania","MRT","0.446151004364231","0.433106133221917","0.56820328794283","0.605538677940888","0.619710029773852","0.644099587053403","0.693144213716168","0.676497971450799","0.666822427606843","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Mauritius","MUS","1.38191117092867","2.2677893927994","3.02999145581499","2.97492201960993","3.13208253358925","3.12999878633412","3.15928885038563","3.23390958429369","3.35311047207863","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Mexico","MEX","3.73050073857275","3.91647818215066","4.33964443588963","4.12060076622679","3.95765766416183","4.06775519227611","4.10768631393635","4.00160249273419","3.86624111265674","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Micronesia, Fed. Sts.","FSM","NA","1.16052945118773","1.12314554260227","1.55202000769527","1.09709890364422","1.16955000579889","1.31087021632223","1.37907658482961","1.44543575445849","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Moldova","MDA","NA","0.965214232804117","1.33836315315951","1.27629063687386","1.38463017732791","1.41530275680859","1.38355238446543","1.40453233128176","1.38682914196587","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Monaco","MCO","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Mongolia","MNG","4.57337218911748","3.1309903580325","4.58073094529915","4.91033430037001","5.09498940150775","7.78544140247603","9.31921743314147","13.5069399642467","7.12732634813277","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Montenegro","MNE","NA","NA","4.45767939718203","2.95355607526517","4.16766436131399","4.14554758345308","3.76389822124038","3.61855387978564","3.5560717904183","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Morocco","MAR","0.946260352449538","1.17523491903065","1.67422175403217","1.64058371303915","1.72659806547058","1.75555822556395","1.88191534421724","1.74672897248759","1.74437997438202","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Mozambique","MOZ","0.0772282689554954","0.0746889183989074","0.099191578954003","0.107559225632069","0.11294068201246","0.129247056969594","0.121535416324105","0.152038111591983","0.309666606914455","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Myanmar","MMR","0.105245303221439","0.218848376007165","0.198099032509298","0.205437515022382","0.249531401054026","0.282824446273063","0.217129435442478","0.249963458388317","0.416600361658081","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Namibia","NAM","0.0285129201267838","0.864978252021712","1.57900136490416","1.43622908321791","1.42753765236958","1.27771130531801","1.49502635677542","1.13499516516154","1.58372866715704","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Nauru","NRU","13.6185690879301","8.40300886719139","4.42384638584498","4.05600804424334","4.38942643391521","4.01083822213384","3.92421441774492","4.06653728860549","4.02185100818358","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Nepal","NPL","0.0338352585676581","0.129282275646457","0.129223795911589","0.162087330503906","0.187128274559686","0.202491061361071","0.211798006685371","0.237169786577315","0.283538525834667","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Netherlands","NLD","10.5944750062034","10.8947262797751","10.7640240154308","10.4275230563251","11.0170708560989","10.4335386040941","10.1647588338308","10.3100627858175","9.92013807523839","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","New Caledonia","NCL","9.26947495304244","10.4732120245744","11.8129515962925","12.091632445619","14.1834714714715","14.3450560251622","14.0167181467181","16.092239711739","16.005931729155","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","New Zealand","NZL","7.07123761186858","8.54939419861576","8.02904103479037","7.52729605354902","7.3050058611258","7.18594822080292","7.74727683128786","7.53195740753247","7.68657582544293","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Nicaragua","NIC","0.614917367685149","0.748457267810351","0.790490170177671","0.793378229306173","0.790571277142518","0.840380211507932","0.786172382743349","0.765378513414715","0.808520855597367","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Niger","NER","0.0915278575280415","0.0613698279736946","0.0532163817572615","0.0612174861465344","0.0714397995613914","0.0777897635789008","0.105264015713385","0.105275362941766","0.111073515505541","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Nigeria","NGA","0.411426135584272","0.621626466305102","0.639510536232122","0.496985479758217","0.577111379724362","0.587523022576854","0.588789917234998","0.571126416080498","0.545622113213755","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Northern Mariana Islands","MNP","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Norway","NOR","7.42914808133872","8.83401570307687","11.6795832483958","11.4618288550645","12.2934544997885","9.12476721592671","9.94098023481974","11.4501188375594","9.27094513154166","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Oman","OMN","6.2831289731591","9.65420806343588","15.4786753528616","14.2574505487797","15.5905311922564","16.6898687411731","17.0752640098088","16.5374000297994","15.4431671894823","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Pakistan","PAK","0.636761223542495","0.768458118792086","0.97205034620054","0.950832112238774","0.946268168264502","0.929801104594609","0.918978434073748","0.904315983160111","0.896264105182138","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Palau","PLW","15.5546129374337","13.0042242503259","12.5085525014831","12.077917608888","12.3606741573034","12.2832661779698","12.1891800751517","12.2700764818356","12.3427040864701","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Panama","PAN","1.12042691872025","1.91073596522114","2.09720561686424","2.40240013298374","2.51531007443411","2.72370867542914","2.68055981836966","2.79243118728282","2.2543113627969","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Papua New Guinea","PNG","0.496521842154258","0.478428354074909","0.706689825991239","0.733141684995942","0.670128424213086","0.732961332983371","0.683475587403625","0.814742393022924","0.81464880730964","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Paraguay","PRY","0.51344624326786","0.695683708299546","0.736175271621171","0.744430375677421","0.820810138429473","0.845408397461431","0.828337606844976","0.840506113762694","0.870219290588263","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Peru","PER","0.96535997402809","1.16908722591373","1.43200278053403","1.78282804407371","1.96073384965557","1.66777094574867","1.82602434048966","1.86986825369967","1.99348594924528","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Philippines","PHL","0.674176770246888","0.939934892193283","0.868950030602126","0.84111159903388","0.905495625234512","0.897333685006204","0.941558643067239","0.996424570368028","1.05545684592961","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Poland","POL","9.66717214041947","7.82279832871167","8.25816005394148","7.80091434165951","8.31337682505654","8.32817587460663","7.87983006352283","7.94628250601022","7.51715158489872","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Portugal","PRT","4.23919892363364","6.09640338514531","5.26840220617631","5.12632397785555","4.55275264586545","4.51082721765256","4.37605313022238","4.3440293115954","4.33155402784831","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Puerto Rico","PRI","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Qatar","QAT","24.7137382069284","58.6393586000908","46.6721376018288","43.5144765460969","40.7420176481562","41.2056454380873","44.6179293580487","37.7800853420592","45.4232399589121","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Romania","ROU","7.50316334893339","4.04051865503903","4.69206736334699","4.00521095214152","3.92221356080157","4.21292622102324","4.07431545512808","3.55016707872764","3.51615369125659","NA","NA","NA"
