Country,Year,LE_both,LE_male,LE_female,Income Level,GDP per Capita,Surface area (sq. km),"Population, total",Population density (people per sq. km of land area),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Mortality caused by road traffic injury (per 100,000 people)","Intentional homicides (per 100,000 people)",Individuals using the Internet (% of population),"Incidence of tuberculosis (per 100,000 people)","GNI, Atlas method (current US$)",GDP per capita growth (annual %),GDP growth (annual %),CO2 emissions (metric tons per capita),Access to electricity (% of population),CHE_in_USD
Côte d'Ivoire,2016,54.6,53.6,55.7,LM,3.1861276528474898,5.5084758496482324,7.374673556626443,1.87224643664201,1.7617126878064706,1.380211241711606,1.065599292780206,41.21,2.184691430817599,10.556884678212686,5.656197040098361,8.34211309645272,-0.3096213364265651,64.3,1.8779469516291882
Democratic Republic of the Congo,2016,60.5,58.9,62.0,L,2.6477841497444943,6.37011691824833,7.896174191611353,1.5407130929737487,1.7503167681941119,1.5250448070368452,1.131823523432159,6.2099740603011915,2.509202522331103,10.557708207577312,-0.903382021120208,2.39937909800997,-1.1981218369067617,17.1473789215088,1.2966651902615312
Denmark,2016,81.2,79.3,83.2,H,4.7289926304763314,4.632679950216724,6.758003767494811,2.1320537218109106,1.014047522438326,0.5314789170422551,-0.008472069452727628,96.96778525166452,0.785329835010767,11.51380285567325,1.17145378168284,1.9640771294674704,0.7734728561430454,100.0,3.7401573381068274
Djibouti,2016,63.8,62.2,65.5,LM,3.272360272320751,4.365487984890899,5.97420440014603,1.6090909685184533,1.855575468922126,1.3961993470957363,0.8118903700818692,13.1349151074,2.525044807036845,9.23976568265482,7.0009710922373785,8.72226006105292,-0.10129579199992793,51.7826919555664,1.9122220565324155
Dominican Republic,2016,73.5,70.6,76.7,UM,3.8320960170127196,4.687261346243506,7.027300303377227,2.343263265890706,1.374715286524808,1.4440447959180762,1.1813205455039841,63.87,1.7781512503836436,10.832864902537452,5.406832886573111,6.61220822292972,0.3159675412972472,100.0,2.5984622004741507
Ecuador,2016,76.5,74.1,78.9,UM,3.7794902036867555,5.408867203386819,7.214448248096392,1.8193665969224466,1.1195094320326207,1.3159703454569178,0.7674354084519226,54.062924728886394,1.6989700043360187,10.978152134781725,-3.0222423024845098,-1.57637918304918,0.44117684197648044,99.9368133544922,2.7243578042264267
Egypt,2016,70.5,68.2,73.0,LM,3.541489536175288,6.00062927088754,7.980860568184653,1.982841117251095,2.1004678421850658,1.1238516409670858,0.4002422476959894,41.2480670885772,1.146128035678238,11.5137550479347,2.2632705909871498,4.34664345555436,0.34222132806790057,100.0,2.1947917577219247
El Salvador,2016,73.7,69.0,78.1,LM,3.5762074360878513,4.323045735481702,6.802412597823794,2.4860228467505996,1.5235644616295985,1.2787536009528289,1.9182519251609231,28.997073045597,1.7781512503836436,10.397055133734527,2.05926088679315,2.58057736631731,0.0002798660936904535,98.618896484375,2.4520932490177314
Equatorial Guinea,2016,59.5,57.9,61.7,UM,3.964631498988443,4.44793286559218,6.086889915875484,1.638957050283304,1.8523565313069454,1.3180633349627615,0.36271498006109815,23.779999971073998,2.2576785748691846,10.003252448780977,-12.026375591554801,-8.57588213036557,0.6752114217858802,67.889289855957,2.4471580313422194
Eritrea,2016,65.0,62.9,67.1,L,2.7655013081872855,5.070407321740119,6.650762953405493,1.6464415796228495,1.7034158971958726,1.3961993470957363,0.9054811589429986,1.177118720157,1.8692317197309762,9.364181988864814,6.643278697081209,8.67979993646826,-0.8769370289022594,46.6804618835449,1.4899584794248346
Estonia,2016,77.8,73.0,82.1,H,4.248875334948206,4.655426587745919,6.119186581436967,1.4919231648687459,0.7729305571256114,0.7993405494535817,0.5042175364191213,87.2373320920335,1.2041199826559248,10.370453001188656,2.03355422223434,2.06326278488234,1.1716919185040795,100.0,3.0461047872460387
Eswatini,2016,57.7,55.1,59.9,LM,3.442511042640444,4.239549720840473,6.128107702398014,1.8925792554904655,1.3829497814737373,1.3961993470957363,1.2378543898201801,28.573522782768503,2.5998830720736876,9.599373903080556,-0.449243064752778,1.36869407322355,-0.032117543692564365,65.7902069091797,2.36679638328673
Ethiopia,2016,65.5,63.7,67.3,L,2.85301518175142,6.043087072166329,8.01031351116622,2.0103135111662196,1.6966647917680149,1.436162647040756,0.8786144119101655,15.366923859589601,2.247973266361807,10.830646118245404,4.90414648964463,7.56176669023149,-0.9240006791271216,42.9,1.3856062735983121
