Country,Year,LE_both,LE_male,LE_female,Income Level,GDP per Capita,Surface area (sq. km),"Population, total",Population density (people per sq. km of land area),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Mortality caused by road traffic injury (per 100,000 people)","Intentional homicides (per 100,000 people)",Individuals using the Internet (% of population),"Incidence of tuberculosis (per 100,000 people)","GNI per capita, Atlas method (current US$)",GDP per capita growth (annual %),GDP growth (annual %),CO2 emissions (metric tons per capita),Access to electricity (% of population),CHE_in_USD
Burundi,2016,60.1,58.5,61.8,L,285.727442064745,27830.0,10524117.0,409.817640186916,46.2829346161166,32.7,6.02052199689204,5.17362677652886,118.0,280.0,-3.63951816381083,-0.570434450658766,0.0444853762564713,7.58847713470459,24.3
Cabo Verde,2016,73.2,71.1,75.0,LM,3037.52564241437,4030.0,539560.0,133.885856079404,66.6417710815881,21.3,11.485829080489,50.3228178676892,137.0,3040.0,2.53851215453756,3.81747042782273,0.933403237234465,92.6115875244141,145.8
Cambodia,2016,69.4,67.3,71.2,LM,1269.90723818939,181040.0,15762370.0,89.29509404033541,26.141334087365895,19.0,1.84345922096239,32.3984517141849,345.0,1140.0,5.29248336130298,6.95309439613069,0.437759998009271,49.770656585693395,69.6
Cameroon,2016,58.1,56.7,59.4,LM,1374.5158991066,475440.0,23439189.0,49.5847115567684,139.705790069454,28.1,4.17410119150193,25.0,203.0,1400.0,1.75591711041186,4.45045326629905,0.314928068034826,60.0747680664063,63.6
Canada,2016,82.8,80.9,84.7,H,42348.9454605979,9984670.0,36264604.0,3.9879654830752895,7.52522448210649,5.8,1.68410454480005,91.16,5.2,43880.0,0.20575862386971305,1.4141027455769095,15.117158779477801,100.0,4507.6
Central African Republic,2016,53.0,51.7,54.4,L,382.07028106683,622980.0,4594621.0,7.375230344473339,66.3202328866047,31.8,19.7573759607917,4.0,407.0,380.0,3.42739458110594,4.53128596327306,0.06659311085283401,13.985112190246598,16.6
Chad,2016,54.3,53.1,55.4,L,651.237243761606,1284000.0,14452543.0,11.477559561626403,95.6736090982915,24.3,9.04030029259613,5.0,153.0,720.0,-9.12983012559067,-6.255527085452808,0.0537776877715938,8.83089828491211,35.6
Chile,2016,79.5,76.5,82.4,H,13960.894209996,756096.0,17909754.0,24.087401752715397,21.9671148974017,11.6,3.46278280351677,83.56,16.0,13430.0,0.4342830404229829,1.2658676030013505,4.68737662371284,100.0,1102.0
China,2016,76.4,75.0,77.9,UM,8117.267465431791,9562911.0,1378665000.0,146.850661963179,56.3301479606088,19.4,0.6156007118674871,53.2,64.0,8250.0,6.1238038247144,6.69999999999993,7.543907641449269,100.0,425.6
Colombia,2016,75.1,71.5,78.8,UM,5756.86160202051,1141749.0,48653419.0,43.8516620099144,17.1193877302592,18.9,25.504326148187598,58.13649357287029,32.0,6350.0,1.15227069298629,2.04305973323898,1.75953717356061,99.00445556640629,374.2
Comoros,2016,63.9,62.3,65.5,L,775.080084631843,1861.0,795601.0,427.512627619559,19.1463515776172,28.6,7.70322986825722,7.938322770802999,35.0,770.0,-0.134951039780631,2.20000002289547,0.202814119320239,77.8442153930664,58.5
Congo,2016,64.3,63.0,65.6,LM,1528.24472001004,342000.0,5125821.0,15.009724743777499,55.8327151145335,26.7,9.32245141004731,8.121949323466001,378.0,1700.0,-5.26846494574266,-2.80001878768313,0.6353692933076109,56.5661697387695,58.8
Costa Rica,2016,79.6,77.0,82.2,UM,11732.710548475701,51100.0,4857274.0,95.12875048962007,18.5305459530294,14.9,11.904981604537802,66.028712851114,9.5,10830.0,3.0965868889036,4.15636150701233,1.63095106225335,100.0,929.1
Croatia,2016,78.3,75.0,81.5,UM,12298.570347383898,56590.0,4174349.0,74.59522873481059,19.8156078689513,9.2,1.04463447717326,72.69730604589441,12.0,12290.0,3.888429795318,3.1654178242422404,3.97380490559031,100.0,852.1
Cuba,2016,79.0,76.8,81.3,UM,7602.2612183189685,109880.0,11475982.0,110.32476446837099,16.6241175011674,7.6,4.98768643112986,42.98,6.9,6570.0,4.240918772156689,4.4383335888395,3.04521062360798,100.0,826.3
Cyprus,2016,80.7,78.4,83.1,H,23541.488248447597,9250.0,1170125.0,126.636904761905,17.8663963175858,6.5,1.11086766968333,75.90036019051242,5.6,24320.0,2.56076941171899,3.39678770236453,5.26035204098901,100.0,1563.3
Czechia,2016,79.2,76.2,82.1,H,18483.7164797716,78870.0,10566332.0,136.851858567543,19.178690549118606,6.5,0.6126471022244481,76.4812013779572,5.0,17630.0,2.39648623734374,2.593326020384,9.16597837581982,100.0,1284.0
