Country,Year,LE_both,LE_male,LE_female,Income Level,GDP per Capita,Surface area (sq. km),"Population, total",Population density (people per sq. km of land area),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Mortality caused by road traffic injury (per 100,000 people)","Intentional homicides (per 100,000 people)",Individuals using the Internet (% of population),"Incidence of tuberculosis (per 100,000 people)","GNI per capita, Atlas method (current US$)",GDP per capita growth (annual %),GDP growth (annual %),CO2 emissions (metric tons per capita),Access to electricity (% of population),CHE_in_USD
Côte d'Ivoire,2016,54.6,53.6,55.7,LM,1535.06812143674,322460.0,23695919.0,74.51546855345909,57.7713728214867,24.0,11.6305242937309,41.21,153.0,1520.0,5.656197040098361,8.34211309645272,0.4902060462422361,64.3,75.5
Democratic Republic of the Congo,2016,60.5,58.9,62.0,L,444.41033459866304,2344860.0,78736153.0,34.7306645199709,56.275163854382285,33.5,13.546388398676903,6.2099740603011915,323.0,460.0,-0.903382021120208,2.39937909800997,0.0633691910487466,17.1473789215088,19.8
Denmark,2016,81.2,79.3,83.2,H,53578.7565680928,42922.0,5728010.0,135.53570583502898,10.3287442130176,3.4,0.980681382327848,96.96778525166452,6.1,56990.0,1.17145378168284,1.9640771294674704,5.935712482114298,100.0,5497.4
Djibouti,2016,63.8,62.2,65.5,LM,1872.23462294105,23200.0,942333.0,40.652847282139795,71.70929765928071,24.9,6.48470717985711,13.1349151074,335.0,1840.0,7.0009710922373785,8.72226006105292,0.7919617524918761,51.7826919555664,81.7
Dominican Republic,2016,73.5,70.6,76.7,UM,6793.538125439351,48670.0,10648791.0,220.42622645415,23.6981959706751,27.8,15.181704903205901,63.87,60.0,6390.0,5.406832886573111,6.61220822292972,2.0699866344335,100.0,396.7
Ecuador,2016,76.5,74.1,78.9,UM,6018.52686848782,256370.0,16385068.0,65.9730552423901,13.1676851006557,20.7,5.85376668216684,54.062924728886394,50.0,5800.0,-3.0222423024845098,-1.57637918304918,2.76170217502084,99.9368133544922,530.1
Egypt,2016,70.5,68.2,73.0,LM,3479.28124621174,1001450.0,95688681.0,96.12605454819428,126.028231544236,13.3,2.5132879423889305,41.2480670885772,14.0,3410.0,2.2632705909871498,4.34664345555436,2.19898024634231,100.0,156.6
El Salvador,2016,73.7,69.0,78.1,LM,3768.8377047883296,21040.0,6344722.0,306.212451737452,33.3860055798232,19.0,82.84225749989541,28.997073045597,60.0,3930.0,2.05926088679315,2.58057736631731,1.0006446231756398,98.618896484375,283.2
Equatorial Guinea,2016,59.5,57.9,61.7,UM,9217.88952758682,28050.0,1221490.0,43.54688057041,71.1797619613442,20.8,2.3052338071906404,23.779999971073998,181.0,8250.0,-12.026375591554801,-8.57588213036557,4.7338165294876,67.889289855957,280.0
Eritrea,2016,65.0,62.9,67.1,L,582.775530237486,117600.0,4474690.0,44.3038613861386,50.514481222332705,24.9,8.04416849668742,1.177118720157,74.0,520.0,6.643278697081209,8.67979993646826,0.13275869389834802,46.6804618835449,30.9
Estonia,2016,77.8,73.0,82.1,H,17736.8026953521,45230.0,1315790.0,31.0401037980656,5.92830524510301,6.3,3.19313688445634,87.2373320920335,16.0,17830.0,2.03355422223434,2.06326278488234,14.848819173174,100.0,1112.0
Eswatini,2016,57.7,55.1,59.9,LM,2770.1994750756207,17360.0,1343098.0,78.08709302325579,24.1518154498694,24.9,17.292364838969,28.573522782768503,398.0,2960.0,-0.449243064752778,1.36869407322355,0.92871499200446,65.7902069091797,232.7
Ethiopia,2016,65.5,63.7,67.3,L,712.877949961138,1104300.0,102403196.0,102.403196,49.73530570848151,27.3,7.56161239607092,15.366923859589601,177.0,660.0,4.90414648964463,7.56176669023149,0.119124014522654,42.9,24.3
Fiji,2016,69.9,67.1,73.1,UM,5197.50913987692,18270.0,898760.0,49.1932129173508,7.65856374186755,5.8,2.25783072139949,46.5069783122217,59.0,4800.0,-0.358360745379144,0.380003448395996,1.32057470823182,98.6460494995117,174.9
Finland,2016,81.4,78.7,84.2,H,43433.032224358,338420.0,5495303.0,18.0831978676495,6.23426747692918,4.4,1.4177693761814698,87.70364995994551,4.7,45040.0,1.84224434095152,2.13538181526189,8.66072124349448,100.0,4005.5
France,2016,82.9,80.1,85.7,H,36870.219134456296,549087.0,66859768.0,122.10558535458401,11.869337804214098,5.1,1.35218684619834,79.27,7.7,38780.0,0.7844693163397808,1.18765038087423,4.5731821471024015,100.0,4026.1
Gabon,2016,66.4,64.8,68.2,UM,7078.6832604476085,267670.0,1979786.0,7.683416773392321,47.3946045933977,22.7,8.042836801429921,48.0522737506185,485.0,7170.0,-0.475678468739034,2.08238031633867,2.7682657208219,91.39550018310551,197.9
Gambia,2016,61.9,60.6,63.3,L,472.306438160201,11300.0,2038501.0,201.43290513834,95.0438707054732,30.4,9.1285077952963,18.5,174.0,430.0,-0.83791997685988,2.21633366332313,0.267684889136388,47.7570877075195,31.9
Georgia,2016,72.6,68.3,76.8,LM,3865.78569412489,69700.0,3719300.0,65.07050631582631,20.734698110631896,11.6,0.989617039520534,59.26,92.0,3830.0,2.7881372868930603,2.848973396234,2.41154199087738,100.0,280.9
Germany,2016,81.0,78.7,83.3,H,42232.5742082948,357380.0,82348669.0,236.023700200631,13.4577960902726,4.2,1.1761928512473898,89.6471005903368,8.1,44020.0,1.12402999800132,1.94362542781317,8.88937039483839,100.0,4591.8
